en_word,pt_word
doorway,porta
image,imagem
cookie,biscoito
homework,trabalho de casa
hat,tem
luck,sorte
aside,aparte
information,Informação
fifteen,quinze
fair,justo
player,jogador
monster,monstro
gate,portão
win,ganhar
below,abaixo
ceiling,teto
click,clique
cook,cozinhar
travel,viagem
fish,peixe
lit,aceso
nervously,nervosamente
towel,toalha
shiver,arrepio
final,final
horrible,horrível
station,estação
camp,acampar
hungry,com fome
thousand,mil
evil,mal
rich,rico
war,guerra
involve,envolver
jaw,mandíbula
uncomfortable,desconfortável
directly,diretamente
level,nível
double,dobro
nine,nove
creature,criatura
glow,brilho
somewhat,de alguma forma
blame,culpa
entrance,Entrada
hip,quadril
fresh,fresco
hiss,sentimento
normally,normalmente
tap,tocar
machine,máquina
ruin,ruína
bear,urso
rule,regra
till,para
cock,galo
stumble,tropeçar
complain,reclamar
everybody,todo mundo
truly,verdadeiramente
nurse,enfermeira
speed,velocidade
hmm,hum
panic,pânico
smooth,suave
weak,fraco
good-bye,adeus
would've,teria
extra,extra
gesture,gesto
scowl,carranca
beer,cerveja
release,liberar
country,país
officer,oficial
careful,cuidadoso
create,criar
hill,colina
snort,bufar
flew,voou
heel,todos
brow,testa
charge,cobrar
flat,plano
plus,mais
switch,trocar
whenever,em qualquer momento
drift,deriva
metal,metal
discover,descobrir
wheel,roda
skirt,saia
pat,o mesmo
ate,comeu
tea,chá
hotel,hotel
sob,sob
future,futuro
record,registro
boot,bota
likely,provável
cheer,alegrar
gold,ouro
prove,provar
ha,ha
twice,duas vezes
aware,consciente
lack,falta
princess,princesa
bench,banco
cousin,primo
detail,detalhe
amount,quantia
bird,pássaro
backward,para trás
crush,crush
cigarette,cigarro
faint,desmaiar
belong,pertencer
stranger,estranho
beach,praia
load,carregar
everywhere,em todos os lugares
scratch,arranhar
history,história
restaurant,restaurante
event,evento
extremely,extremamente
widen,ampliar
clutch,embreagem
due,devido
tug,cara
beyond,além
happily,felizmente
mistake,erro
palm,palma
amuse,divertir
guest,convidado
Saturday,Sábado
wooden,de madeira
worst,pior
exit,saída
plastic,plástico
reality,realidade
wince,estremecer
announce,anunciar
gotta,preciso
slept,dormiu
she'll,concha
member,membro
choose,escolher
Dr.,Dr.
swim,nadar
alarm,alarme
crawl,arrastar
dollar,dólar
knife,faca
magic,magia
paid,pago
pizza,pizza
purse,bolsa
gift,presente
chicken,frango
plane,avião
choke,estrangular
screw,parafuso
protest,protesto
base,base
drug,medicamento
introduce,introduzir
sleeve,manga
movement,movimento
loose,solto
bare,apenas
wanna,quero
difficult,difícil
frame,quadro
spin,rodar
fake,falso
pen,caneta
understood,entendido
nor,nem
unfortunately,infelizmente
written,escrito
decision,decisão
beg,implorar
heavily,fortemente
insist,insistir
soul,alma
random,aleatório
sport,esporte
male,macho
urge,urgir
million,milhão
yawn,bocejar
backpack,mochila
judge,juiz
startle,assustar
bunch,monte
stream,fluxo
they'll,eles vão
muscle,músculo
yard,quintal
accident,acidente
dragon,dragão
sentence,frase
fool,enganar
torn,rasgado
bow,arco
echo,eco
mix,mistura
bury,enterrar
system,sistema
dirt,sujeira
spirit,espírito
leaf,folha
protect,proteger
row,linha
forth,adiante
purple,roxo
bang,estrondo
curious,curioso
nearby,próximo
nowhere,em lugar nenhum
collapse,colapso
hop,saltar
proud,orgulhoso
wing,asa
destroy,destruir
sea,mar
separate,separar
silly,bobagem
wound,ferimento
honest,honesto
battle,batalha
born,nascer
cough,tosse
mountain,montanha
split,dividir
square,quadrado
underneath,debaixo de
bike,bicicleta
process,processo
somebody,alguém
classroom,sala de aula
presence,presença
whose,cujo
grown,crescido
hidden,escondido
serve,servir
female,fêmea
garden,jardim
meal,refeição
unable,impossível
elbow,cotovelo
support,apoiar
bridge,ponte
reaction,reação
skip,pular
wild,selvagem
angrily,com raiva
effect,efeito
threaten,ameaçar
basically,basicamente
smack,bater
stroke,AVC
flow,fluxo
moan,gemer
plant,plantar
impossible,impossível
bruise,hematoma
disappoint,decepcionar
energy,energia
relieve,aliviar
confusion,confusão
wedding,casamento
fat,gordo
bill,conta
dude,cara
address,endereço
cast,elenco
naked,nu
toy,brinquedo
math,matemática
personal,pessoal
ship,enviar
spun,fiado
chat,bater papo
pray,rezar
whip,chicote
grasp,entender
hasn't,não tem
float,flutuador
fully,completamente
gorgeous,maravilhoso
indeed,de fato
nail,unha
vision,visão
innocent,inocente
friendly,amigável
jealous,ciúmes
swung,balançou
flame,chama
dorm,dormitório
driveway,entrada de automóveis
spill,derramar
gang,tempo
murder,assassinato
respect,respeito
bent,dobrado
tail,cauda
inform,informar
lesson,lição
whine,lamentar
clench,apertar
excitement,excitação
library,biblioteca
lord,senhor
surface,superfície
dust,pó
dump,jogar fora
feature,recurso
object,objeto
weapon,arma
calmly,calmamente
hesitate,hesite
hint,dica
law,lei
magazine,revista
among,entre
boss,chefe
file,arquivo
leather,couro
result,resultado
thrown,jogado
toe,então
terrible,terrível
local,local
project,projeto
won,ganho
radio,rádio
regret,arrependimento
grumble,resmungar
otherwise,de outra forma
ridiculous,ridículo
CD,CD
lovely,amável
mock,zombar
effort,esforço
fan,fã
nerve,nervo
report,relatório
stall,parar
elevator,elevador
mate,morte
bastard,Desgraçado
grunt,grunhido
o'clock,horas
rope,corda
entirely,inteiramente
frighten,amedrontar
shade,sombra
strength,força
bone,osso
exchange,intercâmbio
flight,voo
Monday,Segunda-feira
partner,parceiro
plain,simples
shine,brilhar
cafeteria,cafeteria
beam,feixe
exist,existir
porch,varanda
queen,rainha
squeal,guincho
faith,fé
pierce,perfurar
remark,observação
content,contente
ease,facilidade
flick,filme
mall,shopping center
cannot,não pode
carpet,tapete
length,comprimento
replace,substituir
duck,pato
bump,ressalto
common,comum
style,estilo
tan,bronzeado
cake,bolo
court,tribunal
previous,anterior
balance,equilíbrio
bank,banco
blind,cego
dangerous,perigoso
particular,especial
sell,vender
wrote,escreveu
distract,distrair
melt,derretido
popular,popular
social,social
teach,ensinar
appearance,aparência
correct,correto
lake,lago
public,público
sarcastically,sarcasticamente
guilty,culpado
kinda,tipo
shall,podemos
television,televisão
boat,barco
firmly,firmemente
tent,barraca
thumb,dedão
manner,maneiras
flush,liberar
roof,teto
schedule,agendar
dine,seu
weather,clima
casually,casualmente
moon,lua
difference,diferença
butt,bunda
charm,charme
feed,alimentar
frustration,frustração
gentle,gentil
hook,gancho
bounce,quicar
particularly,particularmente
pleasure,prazer
sneak,esgueirar-se
leader,líder
rage,raiva
shriek,Gritar
suffer,sofrer
Sunday,Domingo
argument,argumento
pregnant,grávida
discuss,discutir
statement,declaração
ticket,bilhete
dig,você
doll,boneca
chill,frio
fence,cerca
horror,horror
built,construído
cop,policial
security,segurança
sidewalk,calçada
breast,seios
curtain,cortina
whom,a quem
fifty,cinqüenta
giant,gigante
milk,leite
recall,lembrar
term,prazo
footstep,passo
stun,atordoar
tuck,dobrar
clothing,roupas
lick,lamber
joy,alegria
ugly,feio
hopefully,esperançosamente
soldier,soldado
plead,implorar
struck,chocado
trap,armadilha
opinion,opinião
plenty,bastante
tank,tanque
breeze,brisa
awesome,incrível
desire,desejo
roommate,colega de quarto
halfway,meio caminho
opportunity,oportunidade
outfit,roupa
rough,duro
ain't,não
beauty,beleza
chose,escolheu
snake,cobra
tape,fita
badly,seriamente
cheat,trair
daddy,papai
roar,rugido
describe,descrever
desperately,desesperadamente
height,altura
thigh,coxa
tilt,inclinar
deeply,profundamente
friendship,amizade
winter,inverno
witch,bruxa
worn,desgastado
condition,doença
enemy,inimigo
golden,dourado
sofa,sofá
master,mestre
rude,rude
throughout,por todo
assure,assegurar
damage,dano
natural,natural
steal,roubar
belt,cinto
cage,jaula
claim,alegar
nightmare,pesadelo
prefer,prefiro
purpose,propósito
merely,apenas
pin,alfinete
French,Francês
sadly,tristemente
uniform,uniforme
branch,filial
direct,direto
hunter,caçador
juice,suco
character,personagem
pure,puro
stain,mancha
various,vários
gain,ganho
soak,mergulhar
lately,ultimamente
pitch,tom
accent,sotaque
they've,eles têm
tremble,tremer
cabin,cabine
chew,mastigar
physical,físico
puzzle,quebra-cabeça
explode,explodir
steady,estável
how's,como vai
pet,bicho de estimação
sake,interesse
compare,comparar
principal,principal
scan,digitalizar
forty,quarenta
impress,impressionar
mentally,mentalmente
react,reagir
sandwich,sanduíche
shy,tímido
twelve,doze
whilst,enquanto
bullet,bala
challenge,desafio
command,comando
examine,examinar
film,filme
appreciate,apreciar
tense,tenso
blank,em branco
blew,explodiu
fought,disputado
gym,academia
passenger,passageiro
teenager,adolescente
dish,prato
drawn,retirou
scary,apavorante
unlike,diferente
straighten,endireitar
strain,variedade
tune,sintonizar
constantly,constantemente
famous,famoso
marriage,casado
bound,vinculado
fancy,chique
issue,emitir
warmth,cordialidade
awhile,um tempo
collect,coletar
concentrate,concentrado
copy,cópia
disbelief,descrença
tighten,apertar
determine,determinar
favor,favor
mental,mental
bush,arbusto
forgive,perdoar
aim,mirar
embrace,abraçar
fairly,com justiça
froze,congelou
insult,insulto
option,opção
post,publicar
resist,resistir
spoken,falado
apple,maçã
general,em geral
instant,instantâneo
jeep,jipe
emerge,emergir
neighbor,vizinho
pressure,pressão
service,serviço
shuffle,embaralhar
briefly,brevemente
notebook,caderno
peace,paz
string,corda
wine,vinho
dash,traço
gut,intestino
stress,estresse
connect,conectar
language,linguagem
private,privado
spring,primavera
chip,chip
puppy,filhote de cachorro
ache,dor
desperate,desesperado
habit,hábito
necessary,necessário
nope,não
pencil,lápis
satisfy,satisfazer
deny,negar
mommy,mamãe
attitude,atitude
dial,discar
painful,doloroso
display,mostrar
frustrate,frustrar
it'd,seria
tend,tratar
exact,exato
powerful,poderoso
nature,natureza
photo,foto
total,total
video,vídeo
egg,ovo
occur,ocorrer
anybody,qualquer pessoa
corridor,corredor
gulp,gole
trace,rastrear
whoever,quem quer que seja
brief,apresentação
exhaust,escape
pout,beicinho
terrify,aterrorizar
chapter,capítulo
insane,insano
spell,soletrar
surely,certamente
tray,bandeja
alcohol,álcool
chain,corrente
fashion,moda
garage,garagem
inquire,perguntar
candy,doce
similar,semelhante
bark,latido
flirt,flertar
pathetic,patético
supply,fornecer
tower,torre
engine,motor
frozen,congelado
map,mapa
toilet,banheiro
background,fundo
shudder,estremecer
spider,aranha
adult,adulto
cheap,barato
clue,dica
hazel,avelã
irritate,irritar
sand,areia
quarter,trimestre
spare,poupar
American,americano
rid,livrar
spat,cuspiu
pot,pote
awful,horrível
bleed,sangrar
fate,destino
jog,porque
strike,batida
grimace,careta
holiday,feriado
whistle,assobiar
agreement,acordo
dull,chato
expensive,caro
snatch,arrebatar
sometime,algum dia
ability,habilidade
campus,campus
collar,colarinho
disturb,perturbar
flicker,piscar
proceed,prosseguir
recently,recentemente
risk,risco
skill,habilidade
topic,tópico
defense,defesa
fry,fritar
luckily,felizmente
retort,retorta
captain,capitão
eaten,comido
glove,luva
mid,meio
owner,proprietário
cheese,queijo
yank,puxão
afterward,depois
closely,de perto
coach,treinador
feather,pena
handsome,bonito
New York,Nova Iorque
pity,pena
signal,sinal
sniff,cheirar
strap,alça
contain,conter
survive,sobreviver
sweater,suéter
west,oeste
drawer,gaveta
leap,salto
major,principal
peek,espiar
suspect,suspeito
tour,percorrer
